GroupBy,fitzpatrick,sex,ageGroup,Support,Macro-TPR,Macro-FPR,Micro-TPR,Micro-FPR,TP,FP,FN,TN,balancedAcc,Eczema_FN,Eczema_FP,Eczema_FPR,Eczema_TN,Eczema_TP,Eczema_TPR,Fungal_FN,Fungal_FP,Fungal_FPR,Fungal_TN,Fungal_TP,Fungal_TPR,Others_FN,Others_FP,Others_FPR,Others_TN,Others_TP,Others_TPR,Scabies_FN,Scabies_FP,Scabies_FPR,Scabies_TN,Scabies_TP,Scabies_TPR
fitzpatrick,1.0,,,1,0.25,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
fitzpatrick,3.0,,,271,0.76,0.08,0.75,0.08,204.0,67.0,67.0,746.0,0.758,25.0,26.0,0.12,182.0,38.0,0.6,7.0,17.0,0.07,213.0,34.0,0.83,10.0,14.0,0.07,194.0,53.0,0.84,25.0,10.0,0.06,157.0,79.0,0.76
fitzpatrick,4.0,,,196,0.77,0.08,0.76,0.08,148.0,48.0,48.0,540.0,0.766,16.0,11.0,0.07,144.0,25.0,0.61,8.0,19.0,0.13,129.0,40.0,0.83,3.0,7.0,0.04,165.0,21.0,0.88,21.0,11.0,0.1,102.0,62.0,0.75
fitzpatrick,5.0,,,268,0.74,0.08,0.76,0.08,203.0,65.0,65.0,739.0,0.741,26.0,20.0,0.09,194.0,28.0,0.52,17.0,20.0,0.1,183.0,48.0,0.74,4.0,10.0,0.05,184.0,70.0,0.95,18.0,15.0,0.08,178.0,57.0,0.76
fitzpatrick,6.0,,,74,0.58,0.13,0.69,0.1,51.0,23.0,23.0,199.0,0.576,8.0,6.0,0.1,56.0,4.0,0.33,9.0,7.0,0.25,21.0,37.0,0.8,2.0,4.0,0.06,66.0,2.0,0.5,4.0,6.0,0.1,56.0,8.0,0.67
sex,,f,,334,0.74,0.09,0.73,0.09,244.0,90.0,90.0,912.0,0.736,36.0,25.0,0.1,227.0,46.0,0.56,16.0,30.0,0.11,236.0,52.0,0.76,9.0,15.0,0.06,254.0,56.0,0.86,29.0,20.0,0.09,195.0,90.0,0.76
sex,,m,,476,0.76,0.08,0.76,0.08,363.0,113.0,113.0,1315.0,0.754,39.0,38.0,0.1,350.0,49.0,0.56,25.0,33.0,0.1,311.0,107.0,0.81,10.0,20.0,0.05,355.0,91.0,0.9,39.0,22.0,0.07,299.0,116.0,0.75
ageGroup,,,00-04,267,0.76,0.08,0.75,0.08,200.0,67.0,67.0,734.0,0.754,26.0,20.0,0.1,173.0,48.0,0.65,5.0,13.0,0.06,221.0,28.0,0.85,11.0,18.0,0.1,159.0,79.0,0.88,25.0,16.0,0.08,181.0,45.0,0.64
ageGroup,,,05-09,229,0.79,0.06,0.83,0.06,190.0,39.0,39.0,648.0,0.786,11.0,14.0,0.07,191.0,13.0,0.54,8.0,8.0,0.05,155.0,58.0,0.88,5.0,9.0,0.05,158.0,57.0,0.92,15.0,8.0,0.05,144.0,62.0,0.81
ageGroup,,,10-14,59,0.74,0.08,0.76,0.08,45.0,14.0,14.0,163.0,0.744,4.0,6.0,0.12,43.0,6.0,0.6,5.0,4.0,0.09,40.0,10.0,0.67,1.0,3.0,0.06,49.0,6.0,0.86,4.0,1.0,0.03,31.0,23.0,0.85
