GroupBy,fitzpatrick,sex,ageGroup,Support,Macro-TPR,Macro-FPR,Micro-TPR,Micro-FPR,TP,FP,FN,TN,Eczema_FN,Eczema_FP,Eczema_FPR,Eczema_TN,Eczema_TP,Eczema_TPR,Fungal_FN,Fungal_FP,Fungal_FPR,Fungal_TN,Fungal_TP,Fungal_TPR,Others_FN,Others_FP,Others_FPR,Others_TN,Others_TP,Others_TPR,Scabies_FN,Scabies_FP,Scabies_FPR,Scabies_TN,Scabies_TP,Scabies_TPR
fitzpatrick,3.0,,,303,0.28,0.21,0.31,0.22,95,208,208,701,21,19,0.09,192,71,0.77,42,67,0.26,183,11,0.2,61,82,0.35,151,9,0.12,84,40,0.18,175,4,0.04
fitzpatrick,4.0,,,254,0.19,0.27,0.14,0.28,38,216,216,546,15,20,0.09,187,32,0.68,59,44,0.22,151,0,0.0,41,108,0.51,102,3,0.06,101,44,0.29,106,3,0.02
fitzpatrick,5.0,,,342,0.15,0.28,0.13,0.28,46,296,296,730,28,25,0.09,245,44,0.61,68,95,0.34,178,1,0.01,77,120,0.45,144,1,0.01,123,56,0.25,163,0,0.0
fitzpatrick,6.0,,,87,0.27,0.26,0.13,0.28,12,75,75,186,5,8,0.1,68,6,0.54,51,4,0.11,32,0,0.0,5,26,0.32,53,3,0.37,14,37,0.52,33,3,0.17
sex,,f,,425,0.19,0.26,0.19,0.26,82,343,343,932,32,34,0.1,292,67,0.67,86,99,0.29,236,4,0.04,94,135,0.41,189,7,0.06,131,75,0.25,215,4,0.02
sex,,m,,561,0.21,0.26,0.19,0.26,109,452,452,1231,37,38,0.08,400,86,0.69,134,111,0.26,308,8,0.05,90,201,0.43,261,9,0.09,191,102,0.28,262,6,0.03
ageGroup,,,0-4,361,0.22,0.23,0.25,0.24,91,270,270,813,31,22,0.08,233,75,0.7,30,115,0.35,212,4,0.11,102,94,0.37,156,9,0.08,107,39,0.15,212,3,0.02
ageGroup,,,10-14,71,0.2,0.21,0.29,0.23,21,50,50,163,5,6,0.13,40,20,0.8,12,6,0.1,53,0,0.0,1,29,0.41,41,0,0.0,32,9,0.23,29,1,0.03
ageGroup,,,15-19,26,0.37,0.25,0.15,0.28,4,22,22,56,3,2,0.1,18,3,0.5,5,1,0.04,20,0,0.0,0,16,0.64,9,1,1.0,14,3,0.25,9,0,0.0
ageGroup,,,20-24,43,0.0,0.28,0.0,0.33,0,43,43,86,1,6,0.14,36,0,0.0,17,2,0.07,24,0,0.0,0,31,0.72,12,0,0.0,25,4,0.22,14,0,0.0
